title,ean,iwasku,fiyat,ham_maliyet_euro,ham_maliyet_usd,desi,tr_ne_navlun,ne_de_navlun,kara_tr_de_navlun,express_kargo,ddp,hava_tr_de_navlun,reklam
test1,18391283123,IA12938123,€232.00,0.0,0.0,2.0,€12.00,€12.00,€24.00,€13.51,€5.00,€18.51,€5.25
test2,8723981732123,IA41834198237,€123.00,0.0,0.0,1.0,€12.00,€23.00,€35.00,€13.51,€5.00,€18.51,€5.25
test3,872398173212,IA418341,€123.00,10.29,12.0,1.5,€12.00,€23.00,€35.00,€13.51,€5.00,€18.51,€5.25
test4,172391723,IA418341,€69.90,10.29,12.0,1.5,€12.00,€7.24,€19.24,€13.51,€5.00,€18.51,€5.25
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL M-100cm Mixed,8684089412149,CA041C0A8DWG,69.0,12.17,,2,4.63,7.24,€11.87,13.51,5.0,€18.51,5.25
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL L-150cm Mixed,8684089412019,CA041C020Y5P,89.9,14.41,,4,7.04,7.24,€14.28,16.1,5.0,€21.10,5.25
AHM-008 Murphy Katlanır Masa Standart MDF Brown,8684089407145,AHM0080JCDG6,149.0,26.12,,15,19.9,7.24,€27.14,68.79,5.0,€73.79,5.25
AHM-008 Murphy Katlanır Masa Standart MDF White,8684089407152,AHM0080CJYJQ,149.0,26.12,,15,19.9,7.24,€27.14,68.79,5.0,€73.79,5.25
DS-002 Strafor Tuğla Desenli 9 adet Babylon,8684089411760,DS002009CZ36,180.0,31.5,,25,32.19,7.24,€39.43,95.05,5.0,€100.05,5.25
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL XL-200cm Mixed,8684089400603,CA041C0RZ7WV,119.0,20.96,,6,9.73,7.24,€16.97,28.75,5.0,€33.75,5.25
AHM-047 Floating Nightstand Standart Spruce White,8684089407190,AHM0470G49P7,85.0,12.81,,"3,5",6.32,7.24,€13.56,16.1,5.0,€21.10,5.25
AHM-047 Floating Nightstand Standart Walnut Black,8684089407183,AHM0470TZC22,85.0,12.81,,"3,5",6.57,7.24,€13.81,16.1,5.0,€21.10,5.25
DS-013 Travarten 2'li Yuvarlak Zigon TekEbat Tek Renk,8684089478831,DS01300W4PNQ,94.9,12.61,,"3,5",7.39,7.24,€14.63,16.1,5.0,€21.10,5.25
DS-017 Gold Ayaklı Yuvarlak Zigon Small Black -2'li,8684089478855,DS01700FBCQK,85.0,6.87,,5,8.11,7.24,€15.35,28.75,5.0,€33.75,5.25
DS-017 Gold Ayaklı Yuvarlak Zigon Small White -2'li,8684089478862,DS01700HFNY6,85.0,6.87,,5,8.11,7.24,€15.35,28.75,5.0,€33.75,5.25
KUL-003 SPW Style İsimlikli Beşgen Köpek Kulubesi Medium Black-Brown,8684089412385,KUL0030VKQFG,362.0,51.78,,19,26.19,7.24,€33.43,79.3,5.0,€84.30,5.25
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL M-100cm Light Brown,8684089412040,CA041C0WBTX6,69.0,12.17,,2,10.04,7.24,€17.28,13.51,5.0,€18.51,5.25
CA-120 3D Dünya Haritası UV Baskı 180x125cm Navy,8684089414198,CA12000NJ4PE,159.9,36.69,,6,9.73,7.24,€16.97,28.75,5.0,€33.75,5.25
CA-120 3D Dünya Haritası UV Baskı 240x150cm Crimson,8684089414167,CA1200079C8Z,209.9,56.69,,8,7.6,7.24,€14.84,28.75,5.0,€33.75,5.25
CA-120 3D Dünya Haritası UV Baskı 120x75cm Sage,8684089414266,CA12000VQ599,99.9,21.46,,3,5.71,7.24,€12.95,16.1,5.0,€21.10,5.25
