title,ean,iwasku,fiyat,ham_maliyet_euro,ham_maliyet_usd,desi,tr_ne_navlun,ne_de_navlun,kara_tr_de_navlun,express_kargo,ddp,hava_tr_de_navlun,reklam
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL M-100cm Mixed,8684089412149,CA041C0A8DWG,"€69,00","12,17","€13,14",2,"€4,63","€7,24","€11,87","€13,51","€5,00","€18,51","€5,25"
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL L-150cm Mixed,8684089412019,CA041C020Y5P,"€89,90","14,41","€15,56",4,"€7,04","€7,24","€14,28","€16,10","€5,00","€21,10","€5,25"
AHM-008 Murphy Katlanır Masa Standart MDF Brown,8684089407145,AHM0080JCDG6,"€149,00","26,12","€28,21",15,"€19,90","€7,24","€27,14","€68,79","€5,00","€73,79","€5,25"
AHM-008 Murphy Katlanır Masa Standart MDF White,8684089407152,AHM0080CJYJQ,"€149,00","26,12","€28,21",15,"€19,90","€7,24","€27,14","€68,79","€5,00","€73,79","€5,25"
DS-002 Strafor Tuğla Desenli 9 adet Babylon,8684089411760,DS002009CZ36,"€180,00","31,5","€34,02",25,"€32,19","€7,24","€39,43","€95,05","€5,00","€100,05","€5,25"
CA-041 Yeni Dünya Haritası 3D – İngilizce – FULL XL-200cm Mixed,8684089400603,CA041C0RZ7WV,"€119,00","20,96","€22,64",6,"€9,73","€7,24","€16,97","€28,75","€5,00","€33,75","€5,25"
AHM-047 Floating Nightstand Standart Spruce White,8684089407190,AHM0470G49P7,"€85,00","12,81","€13,83","3,5","€6,32","€7,24","€13,56","€16,10","€5,00","€21,10","€5,25"
AHM-047 Floating Nightstand Standart Walnut Black,8684089407183,AHM0470TZC22,"€85,00","12,81","€13,83","3,5","€6,57","€7,24","€13,81","€16,10","€5,00","€21,10","€5,25"
DS-013 Travarten 2'li Yuvarlak Zigon TekEbat Tek Renk,8684089478831,DS01300W4PNQ,"€94,90","12,61","€13,62","3,5","€7,39","€7,24","€14,63","€16,10","€5,00","€21,10","€5,25"
DS-017 Gold Ayaklı Yuvarlak Zigon Small Black -2'li,8684089478855,DS01700FBCQK,"€85,00","6,87","€7,42",5,"€8,11","€7,24","€15,35","€28,75","€5,00","€33,75","€5,25"
